Airline,Airline_ID,Source_Airport,Source_Airport_ID,Destination_Airport,Destination_Airport_ID,Codeshare,Stops,Equipment,IATA_Source,Latitude_Source,Longitude_Source,IATA_Destination,Latitude_Destination,Longitude_Destination,Airport_Name,IATA_x,Latitude,Longitude,IATA_y,ISO_Country_Source,Scheduled_Service_Source,IATA,ISO_Country_Destination,Scheduled_Service_Destination
NZ,345,WLG,2042,ROT,2031,Y,0,DH3,WLG,-41.3272018433,174.804992676,ROT,-38.1092,176.317001,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,ROT,NZ,yes
NZ,345,WLG,2042,SYD,3361,,0,320,WLG,-41.3272018433,174.804992676,SYD,-33.94609832763672,151.177001953125,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,SYD,AU,yes
NZ,345,WLG,2042,TIU,2035,Y,0,BEH,WLG,-41.3272018433,174.804992676,TIU,-44.302799224853516,171.22500610351562,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,TIU,NZ,yes
NZ,345,WLG,2042,TRG,2034,Y,0,DH3,WLG,-41.3272018433,174.804992676,TRG,-37.67190170288086,176.1959991455078,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,TRG,NZ,yes
NZ,345,WLG,2042,TUO,2007,Y,0,BEH,WLG,-41.3272018433,174.804992676,TUO,-38.73970031738281,176.08399963378906,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,TUO,NZ,yes
NZ,345,WLG,2042,WRE,2045,Y,0,BEH,WLG,-41.3272018433,174.804992676,WRE,-35.769253,174.363713,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,WRE,NZ,yes
NZ,345,WLG,2042,WSZ,2046,Y,0,BEH,WLG,-41.3272018433,174.804992676,WSZ,-41.737111,171.579033,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,WSZ,NZ,yes
NZ,345,WLG,2042,ZQN,2030,Y,0,AT7,WLG,-41.3272018433,174.804992676,ZQN,-45.021099,168.738998,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,ZQN,NZ,yes
NZ,345,WRE,2045,AKL,2006,Y,0,DH3 BEH,WRE,-35.769253,174.363713,AKL,-37.01199,174.786331,Whangarei Airport,WRE,-35.769253,174.363713,WRE,NZ,yes,AKL,NZ,yes
NZ,345,WRE,2045,WLG,2042,Y,0,BEH,WRE,-35.769253,174.363713,WLG,-41.3272018433,174.804992676,Whangarei Airport,WRE,-35.769253,174.363713,WRE,NZ,yes,WLG,NZ,yes
NZ,345,WSZ,2046,WLG,2042,Y,0,BEH,WSZ,-41.737111,171.579033,WLG,-41.3272018433,174.804992676,Westport Airport,WSZ,-41.737111,171.579033,WSZ,NZ,yes,WLG,NZ,yes
NZ,345,YVR,156,AKL,2006,,0,772,YVR,49.193901062,-123.183998108,AKL,-37.01199,174.786331,Vancouver International Airport,YVR,49.193901062,-123.183998108,YVR,CA,yes,AKL,NZ,yes
